Evidence,Property,Source,Genome ID,Genome Name,BRC ID,RefSeq Locus Tag,Alt Locus Tag,Source ID,Source Organism,Gene,Product,Function,Classification,Antibiotics Class,Antibiotics,PubMed,Subject Coverage,Query Coverage,Identity,E-value
"K-mer Search","Antibiotic Resistance","PATRIC","562.98047","Escherichia coli 4ab40810-7bb9-11e9-a8d3-68b59976a384","fig|562.98047.peg.248",,,,,"gyrA","DNA gyrase subunit A (EC 5.99.1.3)","DNA gyrase subunit A (EC 5.99.1.3)","antibiotic target in susceptible species","Fluoroquinolones Quinolones Quinolines","clofazimine;ciprofloxacin;gatifloxacin;levofloxacin;moxifloxacin;nalidixic acid;ofloxacin;sparfloxacin;trovafloxacin","9293187",,,,
"RGI: protein variant model","Antibiotic Resistance","CARD","562.97434","Escherichia coli VREC1550","fig|562.97434.peg.2423","AMK99_18525",,"1545",,,"DNA gyrase subunit A (EC 5.99.1.3)","Escherichia coli gyrA conferring resistance to fluoroquinolones","antibiotic target alteration","fluoroquinolone","enoxacin;ciprofloxacin;levofloxacin;moxifloxacin;gatifloxacin;lomefloxacin;nalidixic acid;norfloxacin;ofloxacin;trovafloxacin;grepafloxacin;sparfloxacin;pefloxacin",,,,,
"RGI: protein variant model","Antibiotic Resistance","CARD","562.45849","Escherichia coli strain URMC_35","fig|562.45849.peg.1178","ELX61_12740",,"1545",,"gyrA","DNA gyrase subunit A (EC 5.99.1.3)","Escherichia coli gyrA conferring resistance to fluoroquinolones","antibiotic target alteration","fluoroquinolone","enoxacin;ciprofloxacin;levofloxacin;moxifloxacin;gatifloxacin;lomefloxacin;nalidixic acid;norfloxacin;ofloxacin;trovafloxacin;grepafloxacin;sparfloxacin;pefloxacin",,,,,
"K-mer Search","Antibiotic Resistance","PATRIC","562.99242","Escherichia coli 72fb2ae2-7bb9-11e9-a8d3-68b59976a384","fig|562.99242.peg.286",,,,,"gyrA","DNA gyrase subunit A (EC 5.99.1.3)","DNA gyrase subunit A (EC 5.99.1.3)","antibiotic target in susceptible species","Fluoroquinolones Quinolones Quinolines","clofazimine;ciprofloxacin;gatifloxacin;levofloxacin;moxifloxacin;nalidixic acid;ofloxacin;sparfloxacin;trovafloxacin","9293187",,,,
"RGI: protein variant model","Antibiotic Resistance","CARD","562.98400","Escherichia coli 1800f8f6-7bb9-11e9-a8d3-68b59976a384","fig|562.98400.peg.2314","AML83_13110",,"1545",,,"DNA gyrase subunit A (EC 5.99.1.3)","Escherichia coli gyrA conferring resistance to fluoroquinolones","antibiotic target alteration","fluoroquinolone","enoxacin;ciprofloxacin;levofloxacin;moxifloxacin;gatifloxacin;lomefloxacin;nalidixic acid;norfloxacin;ofloxacin;trovafloxacin;grepafloxacin;sparfloxacin;pefloxacin",,100,100,99,"0"
"AMRFinderPlus: POINTP","Antibiotic Resistance","NDARO","562.57510","Escherichia coli strain PB63","fig|562.57510.peg.1014",,,"WP_001281243.1",,,"DNA gyrase subunit A (EC 5.99.1.3)","Escherichia quinolone resistant GyrA",,"quinolone","quinolone",,99,100,99,
"RGI: protein variant model","Antibiotic Resistance","CARD","562.96737","Escherichia coli VREC1628","fig|562.96737.peg.346",,,"1545",,,"DNA gyrase subunit A (EC 5.99.1.3)","Escherichia coli gyrA conferring resistance to fluoroquinolones","antibiotic target alteration","fluoroquinolone","enoxacin;ciprofloxacin;levofloxacin;moxifloxacin;gatifloxacin;lomefloxacin;nalidixic acid;norfloxacin;ofloxacin;trovafloxacin;grepafloxacin;sparfloxacin;pefloxacin",,100,100,99,"0"
"AMRFinderPlus: POINTP","Antibiotic Resistance","NDARO","562.57382","Escherichia coli strain PB410","fig|562.57382.peg.934",,,"WP_001281243.1",,,"DNA gyrase subunit A (EC 5.99.1.3)","Escherichia quinolone resistant GyrA",,"quinolone","quinolone",,99,100,98,
"K-mer Search","Antibiotic Resistance","PATRIC","562.97417","Escherichia coli VREC1556","fig|562.97417.peg.2455",,,,,"gyrA","DNA gyrase subunit A (EC 5.99.1.3)","DNA gyrase subunit A (EC 5.99.1.3)","antibiotic target in susceptible species","Fluoroquinolones Quinolones Quinolines","clofazimine;ciprofloxacin;gatifloxacin;levofloxacin;moxifloxacin;nalidixic acid;ofloxacin;sparfloxacin;trovafloxacin","9293187",,,,
"BLAT","Antibiotic Resistance","CARD","562.100501","Escherichia coli ba077a3a-7bb9-11e9-a8d3-68b59976a384","fig|562.100501.peg.1375",,,"AAC75291.1","Escherichia coli str. K-12 substr. MG1655","gyrA","DNA gyrase subunit A (EC 5.99.1.3)",,"antibiotic resistant gene variant or mutant,fluoroquinolone resistance gene",,,,100,100,99,"0.0"
"RGI: protein variant model","Antibiotic Resistance","CARD","562.42858","Escherichia coli strain MUGSI_276","fig|562.42858.peg.2118",,,"1545",,,"DNA gyrase subunit A (EC 5.99.1.3)","Escherichia coli gyrA conferring resistance to fluoroquinolones","antibiotic target alteration","fluoroquinolone","enoxacin;ciprofloxacin;levofloxacin;moxifloxacin;gatifloxacin;lomefloxacin;nalidixic acid;norfloxacin;ofloxacin;trovafloxacin;grepafloxacin;sparfloxacin;pefloxacin",,100,100,99,"0"
"AMRFinderPlus: POINTP","Antibiotic Resistance","NDARO","562.100947","Escherichia coli 75dffeea-7bb9-11e9-a8d3-68b59976a384","fig|562.100947.peg.593",,,"WP_001281243.1",,,"DNA gyrase subunit A (EC 5.99.1.3)","Escherichia quinolone resistant GyrA",,"quinolone","quinolone",,99,100,98,
"RGI: protein variant model","Antibiotic Resistance","CARD","562.57504","Escherichia coli strain PB447","fig|562.57504.peg.1268",,,"1545",,,"DNA gyrase subunit A (EC 5.99.1.3)","Escherichia coli gyrA conferring resistance to fluoroquinolones","antibiotic target alteration","fluoroquinolone","enoxacin;ciprofloxacin;levofloxacin;moxifloxacin;gatifloxacin;lomefloxacin;nalidixic acid;norfloxacin;ofloxacin;trovafloxacin;grepafloxacin;sparfloxacin;pefloxacin",,100,100,99,"0"
"K-mer Search","Antibiotic Resistance","PATRIC","562.100763","Escherichia coli 92b60484-7bb8-11e9-a8d3-68b59976a384","fig|562.100763.peg.1266",,,,,"gyrA","DNA gyrase subunit A (EC 5.99.1.3)","DNA gyrase subunit A (EC 5.99.1.3)","antibiotic target in susceptible species","Fluoroquinolones Quinolones Quinolines","clofazimine;ciprofloxacin;gatifloxacin;levofloxacin;moxifloxacin;nalidixic acid;ofloxacin;sparfloxacin;trovafloxacin","9293187",,,,
"K-mer Search","Antibiotic Resistance","PATRIC","562.98981","Escherichia coli 3330c91c-7bb9-11e9-a8d3-68b59976a384","fig|562.98981.peg.794",,,,,"gyrA","DNA gyrase subunit A (EC 5.99.1.3)","DNA gyrase subunit A (EC 5.99.1.3)","antibiotic target in susceptible species","Fluoroquinolones Quinolones Quinolines","clofazimine;ciprofloxacin;gatifloxacin;levofloxacin;moxifloxacin;nalidixic acid;ofloxacin;sparfloxacin;trovafloxacin","9293187",,,,
"AMRFinderPlus: POINTP","Antibiotic Resistance","NDARO","562.100761","Escherichia coli 9df1b000-7bb8-11e9-a8d3-68b59976a384","fig|562.100761.peg.222","AWG93_14715",,"WP_001281243.1",,,"DNA gyrase subunit A (EC 5.99.1.3)","Escherichia quinolone resistant GyrA",,"quinolone","quinolone",,99,100,98,
"AMRFinderPlus: POINTP","Antibiotic Resistance","NDARO","562.100018","Escherichia coli e9c25c5a-7bb8-11e9-a8d3-68b59976a384","fig|562.100018.peg.1956","ShiD9_010100001695",,"WP_001281243.1",,,"DNA gyrase subunit A (EC 5.99.1.3)","Escherichia quinolone resistant GyrA",,"quinolone","quinolone",,99,100,98,
"K-mer Search","Antibiotic Resistance","PATRIC","562.97838","Escherichia coli 95c55ab6-7bb9-11e9-a8d3-68b59976a384","fig|562.97838.peg.325",,,,,"gyrA","DNA gyrase subunit A (EC 5.99.1.3)","DNA gyrase subunit A (EC 5.99.1.3)","antibiotic target in susceptible species","Fluoroquinolones Quinolones Quinolines","clofazimine;ciprofloxacin;gatifloxacin;levofloxacin;moxifloxacin;nalidixic acid;ofloxacin;sparfloxacin;trovafloxacin","9293187",,,,
"K-mer Search","Antibiotic Resistance","PATRIC","562.97843","Escherichia coli 87744a6c-7bb9-11e9-a8d3-68b59976a384","fig|562.97843.peg.1942",,,,,"gyrA","DNA gyrase subunit A (EC 5.99.1.3)","DNA gyrase subunit A (EC 5.99.1.3)","antibiotic target in susceptible species","Fluoroquinolones Quinolones Quinolines","clofazimine;ciprofloxacin;gatifloxacin;levofloxacin;moxifloxacin;nalidixic acid;ofloxacin;sparfloxacin;trovafloxacin","9293187",,,,
"BLAT","Antibiotic Resistance","CARD","562.100675","Escherichia coli 8088347a-7bb9-11e9-a8d3-68b59976a384","fig|562.100675.peg.343",,,"AAC75291.1","Escherichia coli str. K-12 substr. MG1655","gyrA","DNA gyrase subunit A (EC 5.99.1.3)",,"antibiotic resistant gene variant or mutant,fluoroquinolone resistance gene",,,,100,100,99,"0.0"
"RGI: protein variant model","Antibiotic Resistance","CARD","562.97097","Escherichia coli VREC1218","fig|562.97097.peg.1654",,,"1545",,,"DNA gyrase subunit A (EC 5.99.1.3)","Escherichia coli gyrA conferring resistance to fluoroquinolones","antibiotic target alteration","fluoroquinolone","enoxacin;ciprofloxacin;levofloxacin;moxifloxacin;gatifloxacin;lomefloxacin;nalidixic acid;norfloxacin;ofloxacin;trovafloxacin;grepafloxacin;sparfloxacin;pefloxacin",,,,,
"K-mer Search","Antibiotic Resistance","PATRIC","562.98490","Escherichia coli 7dc1e52a-7bb8-11e9-a8d3-68b59976a384","fig|562.98490.peg.1926",,,,,"gyrA","DNA gyrase subunit A (EC 5.99.1.3)","DNA gyrase subunit A (EC 5.99.1.3)","antibiotic target in susceptible species","Fluoroquinolones Quinolones Quinolines","clofazimine;ciprofloxacin;gatifloxacin;levofloxacin;moxifloxacin;nalidixic acid;ofloxacin;sparfloxacin;trovafloxacin","9293187",,,,
"BLAT","Antibiotic Resistance","CARD","562.98741","Escherichia coli 858d313c-7bb9-11e9-a8d3-68b59976a384","fig|562.98741.peg.1449",,,"AAC75291.1","Escherichia coli str. K-12 substr. MG1655","gyrA","DNA gyrase subunit A (EC 5.99.1.3)",,"antibiotic resistant gene variant or mutant,fluoroquinolone resistance gene",,,,100,100,99,"0.0"
"K-mer Search","Antibiotic Resistance","PATRIC","562.99724","Escherichia coli 72356da2-7bb9-11e9-a8d3-68b59976a384","fig|562.99724.peg.1463",,,,,"gyrA","DNA gyrase subunit A (EC 5.99.1.3)","DNA gyrase subunit A (EC 5.99.1.3)","antibiotic target in susceptible species","Fluoroquinolones Quinolones Quinolines","clofazimine;ciprofloxacin;gatifloxacin;levofloxacin;moxifloxacin;nalidixic acid;ofloxacin;sparfloxacin;trovafloxacin","9293187",,,,
"BLAT","Antibiotic Resistance","CARD","562.99430","Escherichia coli 543e4ecc-7bb9-11e9-a8d3-68b59976a384","fig|562.99430.peg.1595",,,"AAC75291.1","Escherichia coli str. K-12 substr. MG1655","gyrA","DNA gyrase subunit A (EC 5.99.1.3)",,"antibiotic resistant gene variant or mutant,fluoroquinolone resistance gene",,,,100,100,99,"0.0"
"AMRFinderPlus: POINTP","Antibiotic Resistance","NDARO","562.98104","Escherichia coli b0d9d152-7bb8-11e9-a8d3-68b59976a384","fig|562.98104.peg.984","AML65_09505",,"WP_001281243.1",,,"DNA gyrase subunit A (EC 5.99.1.3)","Escherichia quinolone resistant GyrA",,"quinolone","quinolone",,99,100,98,
"BLAT","Antibiotic Resistance","CARD","562.97059","Escherichia coli VREC1182","fig|562.97059.peg.359",,,"AAC75291.1","Escherichia coli str. K-12 substr. MG1655","gyrA","DNA gyrase subunit A (EC 5.99.1.3)",,"antibiotic resistant gene variant or mutant,fluoroquinolone resistance gene",,,,100,100,99,"0.0"
"K-mer Search","Antibiotic Resistance","PATRIC","562.97829","Escherichia coli 841dc4d8-7bb9-11e9-a8d3-68b59976a384","fig|562.97829.peg.2091",,,,,"gyrA","DNA gyrase subunit A (EC 5.99.1.3)","DNA gyrase subunit A (EC 5.99.1.3)","antibiotic target in susceptible species","Fluoroquinolones Quinolones Quinolines","clofazimine;ciprofloxacin;gatifloxacin;levofloxacin;moxifloxacin;nalidixic acid;ofloxacin;sparfloxacin;trovafloxacin","9293187",,,,
"BLAT","Antibiotic Resistance","CARD","562.98902","Escherichia coli a95d005c-7bb8-11e9-a8d3-68b59976a384","fig|562.98902.peg.1647",,,"AAC75291.1","Escherichia coli str. K-12 substr. MG1655","gyrA","DNA gyrase subunit A (EC 5.99.1.3)",,"antibiotic resistant gene variant or mutant,fluoroquinolone resistance gene",,,,100,100,99,"0.0"
"BLAT","Antibiotic Resistance","CARD","562.96573","Escherichia coli VREC0757","fig|562.96573.peg.107",,,"AAC75291.1","Escherichia coli str. K-12 substr. MG1655","gyrA","DNA gyrase subunit A (EC 5.99.1.3)",,"antibiotic resistant gene variant or mutant,fluoroquinolone resistance gene",,,,100,100,100,"0.0"
"BLAT","Antibiotic Resistance","CARD","562.96997","Escherichia coli VRES1157","fig|562.96997.peg.349",,,"AAC75291.1","Escherichia coli str. K-12 substr. MG1655","gyrA","DNA gyrase subunit A (EC 5.99.1.3)",,"antibiotic resistant gene variant or mutant,fluoroquinolone resistance gene",,,,100,100,99,"0.0"
"AMRFinderPlus: POINTP","Antibiotic Resistance","NDARO","562.97295","Escherichia coli VREC1080","fig|562.97295.peg.1163",,,"WP_001281243.1",,,"DNA gyrase subunit A (EC 5.99.1.3)","Escherichia quinolone resistant GyrA",,"quinolone","quinolone",,99,100,98,
"K-mer Search","Antibiotic Resistance","PATRIC","562.97036","Escherichia coli VREC1162","fig|562.97036.peg.176",,,,,"gyrA","DNA gyrase subunit A (EC 5.99.1.3)","DNA gyrase subunit A (EC 5.99.1.3)","antibiotic target in susceptible species","Fluoroquinolones Quinolones Quinolines","clofazimine;ciprofloxacin;gatifloxacin;levofloxacin;moxifloxacin;nalidixic acid;ofloxacin;sparfloxacin;trovafloxacin","9293187",,,,
"BLAT","Antibiotic Resistance","CARD","562.100288","Escherichia coli c46e8e32-7bb9-11e9-a8d3-68b59976a384","fig|562.100288.peg.1056",,,"AAC75291.1","Escherichia coli str. K-12 substr. MG1655","gyrA","DNA gyrase subunit A (EC 5.99.1.3)",,"antibiotic resistant gene variant or mutant,fluoroquinolone resistance gene",,,,100,100,99,"0.0"
"K-mer Search","Antibiotic Resistance","PATRIC","562.100855","Escherichia coli bdbffeae-7bb9-11e9-a8d3-68b59976a384","fig|562.100855.peg.704",,,,,"gyrA","DNA gyrase subunit A (EC 5.99.1.3)","DNA gyrase subunit A (EC 5.99.1.3)","antibiotic target in susceptible species","Fluoroquinolones Quinolones Quinolines","clofazimine;ciprofloxacin;gatifloxacin;levofloxacin;moxifloxacin;nalidixic acid;ofloxacin;sparfloxacin;trovafloxacin","9293187",,,,
"BLAT","Antibiotic Resistance","CARD","562.98957","Escherichia coli bb5f4f48-7bb9-11e9-a8d3-68b59976a384","fig|562.98957.peg.437",,,"AAC75291.1","Escherichia coli str. K-12 substr. MG1655","gyrA","DNA gyrase subunit A (EC 5.99.1.3)",,"antibiotic resistant gene variant or mutant,fluoroquinolone resistance gene",,,,100,100,99,"0.0"
"K-mer Search","Antibiotic Resistance","PATRIC","562.57207","Escherichia coli strain 24742_1#166","fig|562.57207.peg.257",,,,,"gyrA","DNA gyrase subunit A (EC 5.99.1.3)","DNA gyrase subunit A (EC 5.99.1.3)","antibiotic target in susceptible species","Fluoroquinolones Quinolones Quinolines","clofazimine;ciprofloxacin;gatifloxacin;levofloxacin;moxifloxacin;nalidixic acid;ofloxacin;sparfloxacin;trovafloxacin","9293187",,,,
"AMRFinderPlus: POINTP","Antibiotic Resistance","NDARO","562.96517","Escherichia coli VREC0709","fig|562.96517.peg.803",,,"WP_001281243.1",,,"DNA gyrase subunit A (EC 5.99.1.3)","Escherichia quinolone resistant GyrA",,"quinolone","quinolone",,99,100,98,
"BLAT","Antibiotic Resistance","CARD","562.99193","Escherichia coli cf82a6e6-7bb9-11e9-a8d3-68b59976a384","fig|562.99193.peg.210",,,"AAC75291.1","Escherichia coli str. K-12 substr. MG1655","gyrA","DNA gyrase subunit A (EC 5.99.1.3)",,"antibiotic resistant gene variant or mutant,fluoroquinolone resistance gene",,,,100,100,99,"0.0"
"K-mer Search","Antibiotic Resistance","PATRIC","562.96690","Escherichia coli VRES0859","fig|562.96690.peg.1721",,,,,"gyrA","DNA gyrase subunit A (EC 5.99.1.3)","DNA gyrase subunit A (EC 5.99.1.3)","antibiotic target in susceptible species","Fluoroquinolones Quinolones Quinolines","clofazimine;ciprofloxacin;gatifloxacin;levofloxacin;moxifloxacin;nalidixic acid;ofloxacin;sparfloxacin;trovafloxacin","9293187",,,,
"K-mer Search","Antibiotic Resistance","PATRIC","562.57374","Escherichia coli strain PB360","fig|562.57374.peg.623",,,,,"gyrA","DNA gyrase subunit A (EC 5.99.1.3)","DNA gyrase subunit A (EC 5.99.1.3)","antibiotic target in susceptible species","Fluoroquinolones Quinolones Quinolines","clofazimine;ciprofloxacin;gatifloxacin;levofloxacin;moxifloxacin;nalidixic acid;ofloxacin;sparfloxacin;trovafloxacin","9293187",,,,
"BLAT","Antibiotic Resistance","CARD","562.57115","Escherichia coli strain 24742_1#289","fig|562.57115.peg.41",,,"AAC75291.1","Escherichia coli str. K-12 substr. MG1655","gyrA","DNA gyrase subunit A (EC 5.99.1.3)",,"antibiotic resistant gene variant or mutant,fluoroquinolone resistance gene",,,,100,100,99,"0.0"
"K-mer Search","Antibiotic Resistance","PATRIC","562.96477","Escherichia coli VREC0679","fig|562.96477.peg.2127",,,,,"gyrA","DNA gyrase subunit A (EC 5.99.1.3)","DNA gyrase subunit A (EC 5.99.1.3)","antibiotic target in susceptible species","Fluoroquinolones Quinolones Quinolines","clofazimine;ciprofloxacin;gatifloxacin;levofloxacin;moxifloxacin;nalidixic acid;ofloxacin;sparfloxacin;trovafloxacin","9293187",,,,
"AMRFinderPlus: POINTP","Antibiotic Resistance","NDARO","562.100266","Escherichia coli 5f4d2928-7bb9-11e9-a8d3-68b59976a384","fig|562.100266.peg.3596",,,"WP_001281243.1",,,"DNA gyrase subunit A (EC 5.99.1.3)","Escherichia quinolone resistant GyrA",,"quinolone","quinolone",,99,100,98,
"AMRFinderPlus: POINTP","Antibiotic Resistance","NDARO","562.98117","Escherichia coli ba86e2bc-7bb8-11e9-a8d3-68b59976a384","fig|562.98117.peg.1949","AML66_27265",,"WP_001281243.1",,,"DNA gyrase subunit A (EC 5.99.1.3)","Escherichia quinolone resistant GyrA",,"quinolone","quinolone",,99,100,98,
"AMRFinderPlus: POINTP","Antibiotic Resistance","NDARO","562.99336","Escherichia coli e685a1be-7bb8-11e9-a8d3-68b59976a384","fig|562.99336.peg.229",,,"WP_001281243.1",,,"DNA gyrase subunit A (EC 5.99.1.3)","Escherichia quinolone resistant GyrA",,"quinolone","quinolone",,99,100,98,
"AMRFinderPlus: POINTP","Antibiotic Resistance","NDARO","562.59224","Escherichia coli strain PBIO1940","fig|562.59224.peg.2163","HFC66_20820",,"WP_001281243.1",,,"DNA gyrase subunit A (EC 5.99.1.3)","Escherichia quinolone resistant GyrA",,"quinolone","quinolone",,99,100,98,
"AMRFinderPlus: POINTP","Antibiotic Resistance","NDARO","562.140892","Escherichia coli 006-E1-U02","fig|562.140892.peg.1583",,,"WP_001281243.1",,,"DNA gyrase subunit A (EC 5.99.1.3)","Escherichia quinolone resistant GyrA",,"quinolone","quinolone",,99,100,98,
"K-mer Search","Antibiotic Resistance","PATRIC","562.99094","Escherichia coli 18a42a62-7bb9-11e9-a8d3-68b59976a384","fig|562.99094.peg.1674",,,,,"gyrA","DNA gyrase subunit A (EC 5.99.1.3)","DNA gyrase subunit A (EC 5.99.1.3)","antibiotic target in susceptible species","Fluoroquinolones Quinolones Quinolines","clofazimine;ciprofloxacin;gatifloxacin;levofloxacin;moxifloxacin;nalidixic acid;ofloxacin;sparfloxacin;trovafloxacin","9293187",,,,
"BLAT","Antibiotic Resistance","CARD","562.100115","Escherichia coli 0099463c-7bb9-11e9-a8d3-68b59976a384","fig|562.100115.peg.92",,,"AAC75291.1","Escherichia coli str. K-12 substr. MG1655","gyrA","DNA gyrase subunit A (EC 5.99.1.3)",,"antibiotic resistant gene variant or mutant,fluoroquinolone resistance gene",,,,100,100,100,"0.0"
"RGI: protein variant model","Antibiotic Resistance","CARD","562.100083","Escherichia coli 278ef6f6-7bb9-11e9-a8d3-68b59976a384","fig|562.100083.peg.533","A4R38_21095",,"1545",,,"DNA gyrase subunit A (EC 5.99.1.3)","Escherichia coli gyrA conferring resistance to fluoroquinolones","antibiotic target alteration","fluoroquinolone","enoxacin;ciprofloxacin;levofloxacin;moxifloxacin;gatifloxacin;lomefloxacin;nalidixic acid;norfloxacin;ofloxacin;trovafloxacin;grepafloxacin;sparfloxacin;pefloxacin",,,,,
"AMRFinderPlus: POINTP","Antibiotic Resistance","NDARO","562.97253","Escherichia coli VRES1428","fig|562.97253.peg.335",,,"WP_001281243.1",,,"DNA gyrase subunit A (EC 5.99.1.3)","Escherichia quinolone resistant GyrA",,"quinolone","quinolone",,99,100,98,
"K-mer Search","Antibiotic Resistance","PATRIC","562.42786","Escherichia coli strain M31","fig|562.42786.peg.559",,,,,"gyrA","DNA gyrase subunit A (EC 5.99.1.3)","DNA gyrase subunit A (EC 5.99.1.3)","antibiotic target in susceptible species","Fluoroquinolones Quinolones Quinolines","clofazimine;ciprofloxacin;gatifloxacin;levofloxacin;moxifloxacin;nalidixic acid;ofloxacin;sparfloxacin;trovafloxacin","9293187",,,,
"BLAT","Antibiotic Resistance","CARD","562.100586","Escherichia coli 3b8c214c-7bb9-11e9-a8d3-68b59976a384","fig|562.100586.peg.2450",,,"AAC75291.1","Escherichia coli str. K-12 substr. MG1655","gyrA","DNA gyrase subunit A (EC 5.99.1.3)",,"antibiotic resistant gene variant or mutant,fluoroquinolone resistance gene",,,,100,100,99,"0.0"
"BLAT","Antibiotic Resistance","CARD","562.96561","Escherichia coli VRES0786","fig|562.96561.peg.1001",,,"AAC75291.1","Escherichia coli str. K-12 substr. MG1655","gyrA","DNA gyrase subunit A (EC 5.99.1.3)",,"antibiotic resistant gene variant or mutant,fluoroquinolone resistance gene",,,,100,100,99,"0.0"
"RGI: protein variant model","Antibiotic Resistance","CARD","562.96555","Escherichia coli VRES0780","fig|562.96555.peg.1065",,,"1545",,,"DNA gyrase subunit A (EC 5.99.1.3)","Escherichia coli gyrA conferring resistance to fluoroquinolones","antibiotic target alteration","fluoroquinolone","enoxacin;ciprofloxacin;levofloxacin;moxifloxacin;gatifloxacin;lomefloxacin;nalidixic acid;norfloxacin;ofloxacin;trovafloxacin;grepafloxacin;sparfloxacin;pefloxacin",,100,100,99,"0"
